Genre Name,Avg Emotional Tone,Avg Box Office
Animation,69.78132072635207912344,298875388.71839080
Adventure,65.17911244377832428038,229979200.09345794
Family,69.8082684673120595,214121456.44311377
Fantasy,64.35802853159597565831,201461755.45797101
Musical,67.44375553616686702088,192532325.86111111
Sci-Fi,60.56125078730717573889,180704424.44578313
Action,61.83902933458784001589,163659541.69683908
Comedy,70.16713487184845894784,85729488.395173453997
Thriller,56.72509242649138411424,81512036.015334947538
War,54.04819650722887991000,77509943.724832214765
Mystery,57.27018085980974227910,77244747.054187192118
Crime,61.35087809497642236089,67970835.397372742200
Romance,68.80421665150662160216,61103566.023097826087
History,57.56250665159484019370,58102951.917127071823
Western,60.8032897325661329,57870309.510204081633
Sport,73.09413523040726449255,54904567.541666666667
Music,68.39832059864399458829,53629873.975460122699
Horror,47.80551000241177291571,51010778.525943396226
Drama,62.96544795071204070760,48321602.513443191674
Biography,64.54047432912257997071,43787088.813455657492
Short,86.7950000000000000,13658772.333333333333
Documentary,58.07578128505425717145,6257719.154981549815
News,39.04552236652236651818,211073.375000000000
